Artist,Rank,City,Pings,latitude,longitude
Justin Bieber,3,"Athens, GA",,33.9233482,-118.3034071
Justin Bieber,19,"Atlanta, GA",,33.7903837,-84.3735383
Justin Bieber,15,"Dallas, TX",,32.88063245,-96.79601961
Justin Bieber,25,"San Francisco, CA",,37.7792768,-122.4192704
Justin Bieber,41,"Los Angeles, CA",,34.0543942,-118.2439409
Justin Bieber,34,"New York, NY",,40.7555778,-73.9815595
Justin Bieber,14,"Seattle, WA",,47.6038321,-122.3300624
Justin Bieber,10,"Denver, CO",,39.7391536,-104.9847034
Justin Bieber,32,"Miami, FL",,25.7742658,-80.1936589
Zayn Malik,3,"Birmingham, AL",,33.5206824,-86.8024326
Zayn Malik,5,"Boise, ID",,43.61656,-116.200835
Zayn Malik,8,"Santa Fe, NM",,35.71392398,-106.0622998
Zayn Malik,5,"Mobile, AL",,30.6943566,-88.0430541
Zayn Malik,8,"Richmond, VA",,49.1632611,-123.1369143
Zayn Malik,13,Washington D.C.,,38.9025249,-77.02297467
Zayn Malik,17,"Boston, MA",,42.3604823,-71.0595678
Zayn Malik,9,"Chicago, IL",,41.8755546,-87.6244212
Zayn Malik,17,"San Diego, CA",,32.7174209,-117.1627714
Zayn Malik,23,"Mountain View, CA",,37.3943302,-122.0757135
Zayn Malik,25,"Cupertino, CA",,37.3230107,-122.0322519
Zayn Malik,10,"Sunnyvale, CA",,37.3688301,-122.0363496
Zayn Malik,22,"Phoenix, AZ",,33.4381806,-111.9631968
Zayn Malik,14,"Houston, TX",,29.735699,-95.3112219
Zayn Malik,18,"Plano, TX",,33.00806675,-96.7514739
Taylor Swift,7,"Memphis, TN",,35.13774625,-90.03820273
Taylor Swift,26,"Nashville, TN",,36.1500629,-86.7789727
Taylor Swift,39,"New York, NY",,40.7555778,-73.9815595
Taylor Swift,46,"Los Angeles, CA",,34.0543942,-118.2439409
Taylor Swift,14,"Sacremento, CA",,-34.0171911,18.7282317
Taylor Swift,21,"Chicago, IL",,41.8755546,-87.6244212
Taylor Swift,10,"Denver, CO",,39.7391536,-104.9847034
Taylor Swift,17,"Seattle, WA",,47.6038321,-122.3300624
Taylor Swift,19,"Detroit, MI",,42.3486635,-83.0567375
Taylor Swift,26,"Miami, FL",,25.7742658,-80.1936589
Taylor Swift,18,"Atlanta, GA",,33.7903837,-84.3735383
Taylor Swift,8,"West Lake, TX",,32.9912,-97.1950
